# OpenMATB scenario generator

# Name: incapacitation
# Date: 05/06/2023 15:20:43


# Block n° 1. Technical load = 0.0 %
0:00:00;track;start
0:00:00;track;targetproportion;1.0
0:00:00;sysmon;start
0:00:00;communications;start
0:00:00;resman;start
0:00:00;resman;tank-a-lossperminute;0
0:00:00;resman;tank-b-lossperminute;0

# Block n° 2. Technical load = 5.3 %
0:01:00;track;targetproportion;0.9473684210526316
0:01:48;sysmon;lights-1-failure;True
0:01:00;resman;tank-a-lossperminute;63
0:01:00;resman;tank-b-lossperminute;63

# Block n° 3. Technical load = 10.5 %
0:02:00;track;targetproportion;0.8947368421052632
0:02:36;sysmon;lights-1-failure;True
0:02:00;resman;tank-a-lossperminute;126
0:02:00;resman;tank-b-lossperminute;126

# Block n° 4. Technical load = 15.8 %
0:03:00;track;targetproportion;0.8421052631578947
0:03:48;sysmon;lights-2-failure;True
0:03:08;sysmon;scales-3-failure;True
0:03:38;communications;radioprompt;other
0:03:00;resman;tank-a-lossperminute;189
0:03:00;resman;tank-b-lossperminute;189

# Block n° 5. Technical load = 21.1 %
0:04:00;track;targetproportion;0.7894736842105263
0:04:03;sysmon;lights-2-failure;True
0:04:48;sysmon;scales-2-failure;True
0:04:36;communications;radioprompt;own
0:04:00;resman;tank-a-lossperminute;252
0:04:00;resman;tank-b-lossperminute;252

# Block n° 6. Technical load = 26.3 %
0:05:00;track;targetproportion;0.736842105263158
0:05:01;sysmon;lights-1-failure;True
0:05:31;sysmon;lights-2-failure;True
0:05:01;sysmon;scales-1-failure;True
0:05:05;communications;radioprompt;other
0:05:00;resman;tank-a-lossperminute;315
0:05:00;resman;tank-b-lossperminute;315

# Block n° 7. Technical load = 31.6 %
0:06:00;track;targetproportion;0.6842105263157895
0:06:29;sysmon;lights-1-failure;True
0:06:13;sysmon;scales-3-failure;True
0:06:38;sysmon;scales-2-failure;True
0:06:22;communications;radioprompt;other
0:06:00;resman;tank-a-lossperminute;378
0:06:00;resman;tank-b-lossperminute;378

# Block n° 8. Technical load = 36.8 %
0:07:00;track;targetproportion;0.631578947368421
0:07:09;sysmon;lights-2-failure;True
0:07:46;sysmon;lights-1-failure;True
0:07:02;sysmon;scales-4-failure;True
0:07:34;sysmon;scales-3-failure;True
0:07:32;communications;radioprompt;other
0:07:46;communications;radioprompt;own
0:07:00;resman;tank-a-lossperminute;442
0:07:00;resman;tank-b-lossperminute;442

# Block n° 9. Technical load = 42.1 %
0:08:00;track;targetproportion;0.5789473684210527
0:08:14;sysmon;lights-1-failure;True
0:08:39;sysmon;lights-2-failure;True
0:08:09;sysmon;scales-3-failure;True
0:08:24;sysmon;scales-1-failure;True
0:08:40;sysmon;scales-4-failure;True
0:08:24;communications;radioprompt;own
0:08:39;communications;radioprompt;other
0:08:00;resman;tank-a-lossperminute;505
0:08:00;resman;tank-b-lossperminute;505

# Block n° 10. Technical load = 47.4 %
0:09:00;track;targetproportion;0.5263157894736843
0:09:12;sysmon;lights-2-failure;True
0:09:24;sysmon;lights-1-failure;True
0:09:10;sysmon;scales-4-failure;True
0:09:26;sysmon;scales-1-failure;True
0:09:42;sysmon;scales-2-failure;True
0:09:13;communications;radioprompt;other
0:09:32;communications;radioprompt;own
0:09:00;resman;tank-a-lossperminute;568
0:09:00;resman;tank-b-lossperminute;568

# Block n° 11. Technical load = 52.6 %
0:10:00;track;targetproportion;0.4736842105263158
0:10:09;sysmon;lights-1-failure;True
0:10:33;sysmon;lights-2-failure;True
0:10:47;sysmon;lights-1-failure;True
0:10:02;sysmon;scales-4-failure;True
0:10:15;sysmon;scales-3-failure;True
0:10:45;sysmon;scales-1-failure;True
0:10:24;communications;radioprompt;own
0:10:40;communications;radioprompt;other
0:10:00;resman;tank-a-lossperminute;631
0:10:00;resman;tank-b-lossperminute;631

# Block n° 12. Technical load = 57.9 %
0:11:00;track;targetproportion;0.42105263157894735
0:11:22;sysmon;lights-1-failure;True
0:11:35;sysmon;lights-2-failure;True
0:11:47;sysmon;lights-1-failure;True
0:11:03;sysmon;scales-4-failure;True
0:11:27;sysmon;scales-3-failure;True
0:11:44;sysmon;scales-2-failure;True
0:11:01;communications;radioprompt;own
0:11:26;communications;radioprompt;other
0:11:00;resman;tank-a-lossperminute;694
0:11:00;resman;tank-b-lossperminute;694

# Block n° 13. Technical load = 63.2 %
0:12:00;track;targetproportion;0.368421052631579
0:12:03;sysmon;lights-1-failure;True
